X, Y, Z
0.3795456,-4.076848,-6.501723,
0.4779463,-3.7746172,-6.7196097,
0.5060608,-3.7675886,-6.6914954,
0.5060608,-3.8589606,-6.6914954,
0.52714664,-3.9222183,-6.6001234,
0.39360285,-5.5036583,-4.9273114,
0.6958336,-6.0729766,3.3245382,
0.745034,-6.199492,3.0082502,
0.8293774,-6.2276063,2.769277,
0.8223488,-6.2627497,2.734134,
0.8223488,-6.2627497,2.656819,
0.948864,-6.51578,1.897728,
0.9910357,-6.593095,1.4127531,
0.40063146,-1.286485,-7.68956,
0.42171735,-1.2935135,-7.6965885,
0.42171732,-1.3286567,-7.6755023,
0.3795456,-1.3919142,-7.619273,
0.3795456,-1.3919142,-7.619273,
0.3795456,-1.4130001,-7.6544166,
0.47091767,-1.4200288,-7.6403594,
0.6044615,-1.4832864,-7.6403594,
0.632576,-2.2283204,-7.366243,
0.5693184,-2.678152,-7.162413,
0.5341753,-6.1151485,-3.8027318,
0.61149013,-6.670409,-2.1931772,
1.37761,-5.8129177,2.994193,
1.2018944,-5.250628,3.921971,
1.1808085,-5.1873703,4.0274005,
1.2018944,-5.1873703,3.9711716,
1.2862378,-5.3349714,3.7321985,
1.3143523,-5.566916,3.479168,
1.3354381,-5.6020594,3.2261376,
1.3284096,-5.6301737,3.2612808,
1.3635527,-5.693431,3.1488228,
1.3565241,-5.791832,2.8747065,
1.490068,-5.763717,2.7833345,
1.5111538,-5.8199463,2.7200768,
1.5041251,-5.8761754,2.6638477,
1.4970965,-5.8761754,2.6287048,
1.4549248,-5.925376,2.6076188,
1.4549248,-5.9042897,2.5935616,
1.5181824,-5.925376,2.5935616,
1.7360697,-6.2838354,-2.361864,
0.745034,-3.6691878,-6.642295,
0.5693184,-3.2263846,-6.8601823,
0.5693184,-3.1701558,-6.909383,
0.48497495,-3.1771843,-6.8953257,
0.47091767,-3.1209555,-6.9445257,
0.5412039,-3.106898,-6.9304686,
0.6044615,-3.1701558,-6.8672113,
0.5060608,-3.1912415,-6.92344,
0.5412039,-3.205299,-6.8812685,
0.55526114,-3.219356,-6.8601823,
0.5060608,-3.1912415,-6.832068,
0.55526114,-3.205299,-6.8601823,
0.5060608,-3.1631272,-6.8812685,
0.58337563,-3.1631272,-6.8672113,
0.8223488,-6.6914954,-2.460265,
0.35845974,-6.6282377,-2.8608963,
0.5552612,-6.5228086,-3.092841,
0.5060608,-6.51578,-3.015526,
0.8504633,-6.51578,-3.0858123,
0.7942343,-6.4806366,-3.0998695,
0.8223488,-6.501723,-3.0998695,
0.87857777,-6.51578,-3.0998695,
0.8293774,-6.459551,-3.092841,
0.84343463,-6.494694,-3.0787835,
0.8223488,-6.501723,-3.071755,
0.8504633,-6.5087514,-3.0787835,
0.84343463,-6.4525223,-3.0576978,
0.8293774,-6.4876657,-3.0576978,
0.8223488,-6.494694,-3.0576978,
0.8012629,-6.501723,-3.071755,
0.8223488,-6.4525223,-3.0858123,
0.83640605,-6.51578,-3.0647264,
0.86452055,-6.529837,-3.0576978,
0.86452055,-6.51578,-3.0787835,
0.8153202,-6.51578,-3.071755,
0.8223488,-6.51578,-3.0436404,
0.86452055,-6.4525223,-3.0576978,
0.8293774,-6.494694,-3.0998695,
0.84343463,-6.51578,-3.0787835,
0.8293774,-6.5087514,-3.0858123,
0.8223488,-6.4876657,-3.0998695,
0.84343463,-6.4806366,-3.071755,
0.7942343,-6.51578,-3.0787835,
0.8223488,-6.529837,-3.1209555,
0.8223488,-6.494694,-3.106898,
0.8504633,-6.4806366,-3.0858123,
0.8223488,-6.51578,-3.0998695,
0.84343463,-6.5368657,-3.0787835,
0.8293774,-6.51578,-3.0998695,
0.84343463,-6.51578,-3.0787835,
0.84343463,-6.529837,-3.0787835,
0.8223488,-6.473608,-3.0576978,
0.86452055,-6.494694,-3.1420412,
0.8504633,-6.51578,-3.0576978,
0.8223488,-6.4806366,-3.0576978,
0.8223488,-6.494694,-3.0998695,
0.8223488,-6.51578,-3.050669,
0.87857777,-6.4876657,-3.1209555,
0.8574919,-6.51578,-3.092841,
0.86452055,-6.51578,-3.0998695,
