X, Y, Z, Dlugosc wektora
-0.041534223,-2.1688889E-4,1.023824,1.0241274,
-0.041534223,-2.1688889E-4,1.023824,1.0277988,
-0.045872,0.0017351111,1.0248,1.0220983,
-0.045872,0.0017351111,1.0248,1.0231593,
-0.045872,0.0017351111,1.0248,1.0235742,
-0.045872,0.0017351111,1.0248,1.0251777,
-0.043811556,7.591111E-4,1.0249084,1.0251282,
-0.043811556,7.591111E-4,1.0249084,1.0247782,
-0.041317333,3.2533333E-4,1.0245831,1.0249481,
-0.041317333,3.2533333E-4,1.0245831,1.024187,
-0.043594666,-0.0014097778,1.0255591,1.0273623,
-0.045004442,-1.08444445E-4,1.0254507,1.0254172,
-0.045004442,-1.08444445E-4,1.0254507,1.0208241,
-0.044462223,-0.0016266666,1.0221974,1.0234008,
-0.04413689,-0.0015182222,1.022848,1.0250496,
-0.04413689,-0.0015182222,1.022848,1.0253842,
-0.045004442,-0.0014097778,1.0240409,1.0238533,
-0.04175111,-0.0011928888,1.0236071,1.0258672,
-0.044462223,9.76E-4,1.0240409,1.0258589,
-0.044462223,9.76E-4,1.0240409,1.0230458,
-0.04467911,-7.591111E-4,1.0225227,1.0242686,
-0.046414223,0.0022773333,1.0214382,1.0217898,
-0.041100442,-8.6755556E-4,1.0217636,1.0233225,
-0.041317333,-0.002168889,1.0220889,1.0235837,
-0.04467911,-5.4222223E-4,1.0207876,1.02227,
-0.04467911,-5.4222223E-4,1.0207876,1.0238775,
-0.04467911,-5.4222223E-4,1.0207876,1.025977,
-0.041317333,-2.1688889E-4,1.0203538,1.0249782,
-0.043594666,0.0013013333,1.0230649,1.023606,
-0.043594666,0.0013013333,1.0230649,1.0219593,
-0.043052442,0.0028195556,1.0272942,1.0225328,
-0.043052442,0.0028195556,1.0272942,1.0228015,
-0.046956442,-0.0015182222,1.0256675,1.0265821,
-0.041968,-9.76E-4,1.0231733,1.0243208,
-0.041968,-9.76E-4,1.0231733,1.0259715,
-0.041968,-9.76E-4,1.0231733,1.0253558,
-0.043594666,-0.0011928888,1.0234987,1.0254889,
-0.044462223,0.0013013333,1.022631,1.0247599,
-0.04175111,0.0010844445,1.0231733,1.0251329,
-0.042401776,0.0013013333,1.0244746,1.0249121,
-0.044245332,7.591111E-4,1.0233902,1.0234617,
-0.04120889,-0.002168889,1.0246916,1.0260566,
-0.043486223,5.4222223E-4,1.0249084,1.0220723,
-0.044570666,9.76E-4,1.022848,1.0240687,
-0.044570666,9.76E-4,1.022848,1.0239317,
-0.044570666,0.0,1.0242578,1.0240834,
-0.044028442,-4.3377778E-4,1.0244747,1.0239043,
-0.042835556,3.2533333E-4,1.0249084,1.0226978,
-0.043811556,0.0013013333,1.0239325,1.0241019,
-0.043811556,0.0013013333,1.0239325,1.0225297,
-0.042944,-5.4222223E-4,1.022848,1.0247108,
-0.044353776,-5.4222223E-4,1.0241493,1.0235378,
-0.044353776,-5.4222223E-4,1.0241493,1.0223025,
-0.044353776,-5.4222223E-4,1.0241493,1.0233074,
-0.046522666,0.023098666,1.1056995,1.0989385,
-0.046522666,0.023098666,1.1056995,0.99797523,
-0.046522666,0.023098666,1.1056995,1.008528,
-0.046522666,0.023098666,1.1056995,1.011347,
-0.046522666,0.023098666,1.1056995,1.0121646,
-0.046522666,0.023098666,1.1056995,1.0108538,
0.19552533,-0.004663111,0.9861938,1.0152206,
0.20539378,0.0,0.9950862,1.0178956,
0.21612978,-0.013664,1.0034364,1.0264543,
0.21612978,-0.013664,1.0034364,1.0234711,
-0.83578134,0.0020604443,0.6063129,1.0383462,
-0.83578134,0.0020604443,0.6063129,1.065992,
